intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.010	496.6	887.2	2665.6	3429.5	4188.9
0.018	479.7	911.2	2674.1	3349.6	4292.7
0.023	456.3	1061.8	2559.9	3346.9	4234.8
0.032	445.7	1238.4	2514.2	3275.8	4269.0
0.017	397.1	1522.8	2477.0	3378.9	4351.0
0.002	363.5	1417.5	2448.3	3378.6	4539.6
0.0005	406.7	1434.2	2428.5	3356.1	4779.3
0.0004	1401.9	2315.6	3612.0	--undefined--	--undefined--
0.002	1363.2	2465.1	3675.4	5160.0	--undefined--
0.040	535.5	1489.3	2442.3	3516.6	3980.0
0.228	655.9	1443.7	2458.2	3377.9	3748.1
0.265	840.7	1436.8	2698.3	3612.0	4583.7
0.149	849.8	1327.4	2665.1	3601.9	3839.6
0.157	876.2	1336.0	2649.2	3667.9	3704.4
0.146	894.9	1349.3	2830.5	3550.6	3771.5
0.128	949.7	1421.6	2747.4	3220.3	3756.1
0.094	907.8	1416.3	2610.5	3596.1	--undefined--
0.064	784.4	1355.7	2700.1	3524.3	--undefined--
0.065	722.7	1373.1	2677.6	3708.1	--undefined--
0.046	568.3	1612.5	2506.6	3243.5	4720.2
0.002	708.3	1455.8	2902.5	3618.3	5060.5
0.0007	793.0	1268.8	3211.8	3781.1	5005.2
0.004	1052.8	2293.4	3034.6	3812.6	5031.8
0.007	1198.2	2659.1	3385.1	4371.0	--undefined--
0.010	2252.7	3131.3	3917.5	5362.1	--undefined--
0.009	2076.6	2718.8	3529.7	4244.3	--undefined--
0.001	1802.3	2630.8	3565.5	4814.2	--undefined--
0.004	443.9	1768.1	2469.3	3554.5	4693.4
0.007	383.9	1737.6	2505.3	3582.8	4580.8
0.005	378.8	1354.7	2585.4	3491.7	4472.1
0.003	375.9	1157.6	2585.2	3502.1	4465.5
0.001	357.2	1111.4	2653.0	3513.2	4570.8
0.0007	326.1	1177.6	2585.3	3527.9	4542.9
0.0008	295.8	1208.0	2585.7	3547.1	4742.0
0.003	1331.8	2552.8	3449.7	4826.8	--undefined--
0.018	361.8	1820.1	2538.8	3420.5	4387.5
0.023	337.5	2032.4	2599.7	3434.1	4337.0
0.019	307.8	2106.7	2737.7	3411.3	4356.9
0.012	305.6	2149.8	2768.9	3426.3	4316.2
0.004	316.7	2195.5	2854.4	3443.9	4497.8
0.002	314.9	2551.7	2659.3	3427.9	4402.0
0.002	309.5	2589.6	3549.2	4712.1	--undefined--
0.004	355.8	2612.8	3907.3	4395.3	--undefined--
0.002	522.2	2585.7	3556.0	4508.3	5317.0
0.004	576.3	2655.6	4062.3	5216.6	--undefined--
0.003	614.5	2991.0	3004.5	4281.2	5233.6
0.005	546.0	1835.5	3400.3	4139.4	4919.6
0.006	444.9	1475.0	2757.1	3514.1	5172.4
0.040	551.2	1442.6	2680.2	3463.2	5115.3
